"year","region","count"
1930,"Northeast",2
1931,"Midwest",1
1931,"West",1
1933,"Northeast",1
1934,"Midwest",1
1935,"West",1
1936,"Midwest",1
1936,"West",1
1937,"West",2
1939,"Midwest",1
1939,"South",2
1941,"Midwest",1
1941,"West",1
1942,"South",2
1942,"West",1
1943,"Midwest",1
1943,"South",3
1943,"West",1
1944,"Northeast",1
1944,"South",3
1944,"West",4
1945,"South",5
1945,"West",4
1946,"Midwest",1
1946,"Northeast",2
1946,"South",1
1946,"West",4
1947,"Midwest",12
1947,"Northeast",6
1947,"South",7
1947,"West",16
1948,"Midwest",1
1948,"Northeast",2
1948,"South",4
1948,"West",2
1949,"Midwest",2
1949,"Northeast",1
1949,"South",10
1949,"West",6
1950,"Midwest",4
1950,"Northeast",5
1950,"South",13
1950,"West",9
1951,"Midwest",1
1951,"Northeast",3
1951,"South",7
1951,"West",10
1952,"Midwest",11
1952,"Northeast",10
1952,"South",14
1952,"West",17
1953,"Midwest",8
1953,"Northeast",6
1953,"South",10
1953,"West",13
1954,"Midwest",10
1954,"Northeast",14
1954,"South",15
1954,"West",16
1955,"Midwest",7
1955,"Northeast",7
1955,"South",11
1955,"West",10
1956,"Midwest",13
1956,"Northeast",9
1956,"South",16
1956,"West",8
1957,"Midwest",17
1957,"Northeast",17
1957,"South",21
1957,"West",23
1958,"Midwest",16
1958,"Northeast",9
1958,"South",16
1958,"West",11
1959,"Midwest",17
1959,"Northeast",11
1959,"South",8
1959,"West",20
1960,"Midwest",13
1960,"Northeast",18
1960,"South",12
1960,"West",23
1961,"Midwest",9
1961,"Northeast",8
1961,"South",24
1961,"West",8
1962,"Midwest",16
1962,"Northeast",16
1962,"South",24
1962,"West",17
1963,"Midwest",20
1963,"Northeast",20
1963,"South",24
1963,"West",21
1964,"Midwest",23
1964,"Northeast",16
1964,"South",33
1964,"West",25
1965,"Midwest",42
1965,"Northeast",62
1965,"South",50
1965,"West",39
1966,"Midwest",61
1966,"Northeast",38
1966,"South",48
1966,"West",53
1967,"Midwest",39
1967,"Northeast",36
1967,"South",63
1967,"West",56
1968,"Midwest",49
1968,"Northeast",42
1968,"South",67
1968,"West",55
1969,"Midwest",26
1969,"Northeast",33
1969,"South",44
1969,"West",50
1970,"Midwest",28
1970,"Northeast",41
1970,"South",32
1970,"West",37
1971,"Midwest",23
1971,"Northeast",23
1971,"South",37
1971,"West",32
1972,"Midwest",39
1972,"Northeast",22
1972,"South",62
1972,"West",40
1973,"Midwest",46
1973,"Northeast",38
1973,"South",96
1973,"West",44
1974,"Midwest",64
1974,"Northeast",51
1974,"South",87
1974,"West",60
1975,"Midwest",66
1975,"Northeast",68
1975,"South",103
1975,"West",72
1976,"Midwest",59
1976,"Northeast",57
1976,"South",89
1976,"West",74
1977,"Midwest",51
1977,"Northeast",55
1977,"South",75
1977,"West",76
1978,"Midwest",71
1978,"Northeast",73
1978,"South",82
1978,"West",97
1979,"Midwest",54
1979,"Northeast",47
1979,"South",73
1979,"West",61
1980,"Midwest",60
1980,"Northeast",43
1980,"South",71
1980,"West",68
1981,"Midwest",33
1981,"Northeast",26
1981,"South",46
1981,"West",69
1982,"Midwest",39
1982,"Northeast",39
1982,"South",54
1982,"West",54
1983,"Midwest",34
1983,"Northeast",28
1983,"South",38
1983,"West",46
1984,"Midwest",43
1984,"Northeast",39
1984,"South",56
1984,"West",35
1985,"Midwest",39
1985,"Northeast",44
1985,"South",70
1985,"West",58
1986,"Midwest",30
1986,"Northeast",19
1986,"South",78
1986,"West",59
1987,"Midwest",50
1987,"Northeast",39
1987,"South",60
1987,"West",59
1988,"Midwest",46
1988,"Northeast",47
1988,"South",74
1988,"West",64
1989,"Midwest",43
1989,"Northeast",44
1989,"South",83
1989,"West",75
1990,"Midwest",51
1990,"Northeast",39
1990,"South",64
1990,"West",81
1991,"Midwest",47
1991,"Northeast",43
1991,"South",60
1991,"West",69
1992,"Midwest",43
1992,"Northeast",50
1992,"South",73
1992,"West",77
1993,"Midwest",55
1993,"Northeast",50
1993,"South",80
1993,"West",107
1994,"Midwest",96
1994,"Northeast",65
1994,"South",98
1994,"West",148
1995,"Midwest",229
1995,"Northeast",176
1995,"South",256
1995,"West",680
1996,"Midwest",152
1996,"Northeast",121
1996,"South",210
1996,"West",368
1997,"Midwest",271
1997,"Northeast",169
1997,"South",276
1997,"West",518
1998,"Midwest",361
1998,"Northeast",222
1998,"South",457
1998,"West",703
1999,"Midwest",641
1999,"Northeast",308
1999,"South",708
1999,"West",1113
2000,"Midwest",502
2000,"Northeast",360
2000,"South",613
2000,"West",1162
2001,"Midwest",648
2001,"Northeast",437
2001,"South",733
2001,"West",1106
2002,"Midwest",524
2002,"Northeast",502
2002,"South",791
2002,"West",1123
2003,"Midwest",654
2003,"Northeast",503
2003,"South",1011
2003,"West",1341
2004,"Midwest",874
2004,"Northeast",580
2004,"South",1017
2004,"West",1386
2005,"Midwest",798
2005,"Northeast",537
2005,"South",1113
2005,"West",1337
2006,"Midwest",682
2006,"Northeast",486
2006,"South",1009
2006,"West",1272
2007,"Midwest",879
2007,"Northeast",613
2007,"South",1210
2007,"West",1356
2008,"Midwest",891
2008,"Northeast",731
2008,"South",1532
2008,"West",1500
2009,"Midwest",816
2009,"Northeast",747
2009,"South",1265
2009,"West",1429
2010,"Midwest",942
2010,"Northeast",697
2010,"South",1139
2010,"West",1377
2011,"Midwest",1085
2011,"Northeast",829
2011,"South",1571
2011,"West",1596
2012,"Midwest",1616
2012,"Northeast",1411
2012,"South",2075
2012,"West",2137
2013,"Midwest",1435
2013,"Northeast",1287
2013,"South",2152
2013,"West",2071
2014,"Midwest",287
2014,"Northeast",289
2014,"South",865
2014,"West",828
2020,"Midwest",1
2020,"West",1
2022,"South",1
2025,"Midwest",1
2029,"West",1
